index	role	name	inchi
0	REACTANT	potassium carbonate	InChI=1S/CH2O3.K/c2-1(3)4;/h(H2,2,3,4);/q;+1/p-2
1	REACTANT	copper iodide	InChI=1S/Cu.HI/h;1H/q+2;/p-1
3	REACTANT	N,N′-dimethylethylenediamine	InChI=1S/C4H12N2/c1-5-3-4-6-2/h5-6H,3-4H2,1-2H3
4	REACTANT	6-(6-methylpyrazin-2-yl)-1h-pyrazolo[4,3-c]pyridine	InChI=1S/C11H9N5/c1-7-3-12-6-11(15-7)10-2-9-8(4-13-10)5-14-16-9/h2-6H,1H3,(H,14,16)
6	REACTANT	tert-butyl N-[(3S)-1-(6-bromo-3-methoxy-2-pyridyl)-3-piperidyl]carbamate	InChI=1S/C16H24BrN3O3/c1-16(2,3)23-15(21)18-11-6-5-9-20(10-11)14-12(22-4)7-8-13(17)19-14/h7-8,11H,5-6,9-10H2,1-4H3,(H,18,21)/t11-/m0/s1
2	SOLVENT	1,4-dioxane	InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2
5	TARGET	tert-butyl n-[(3s)-1-[3-methoxy-6-[6-(6-methylpyrazin-2-yl)pyrazolo[4,3-c]pyridin-1-yl]-2-pyridyl]-3-piperidyl]carbamate	InChI=1S/C27H32N8O3/c1-17-12-28-15-21(31-17)20-11-22-18(13-29-20)14-30-35(22)24-9-8-23(37-5)25(33-24)34-10-6-7-19(16-34)32-26(36)38-27(2,3)4/h8-9,11-15,19H,6-7,10,16H2,1-5H3,(H,32,36)/t19-/m0/s1
