index	role	name	inchi
0	REACTANT	phenol	InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H
1	REACTANT	PCl5	InChI=1S/Cl5P/c1-6(2,3,4)5
2	REACTANT	8-aminoquinoline	InChI=1S/C9H8N2/c10-8-5-1-3-7-4-2-6-11-9(7)8/h1-6H,10H2
4	REACTANT	chlorosulfonic acid	InChI=1S/ClHO3S/c1-5(2,3)4/h(H,2,3,4)
5	REACTANT	triethylamine	InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3
3	SOLVENT	DCM	InChI=1S/CH2Cl2/c2-1-3/h1H2
6	TARGET	quinolin-8-yl-sulfamic acid phenyl ester	InChI=1S/C15H12N2O3S/c18-21(19,20-13-8-2-1-3-9-13)17-14-10-4-6-12-7-5-11-16-15(12)14/h1-11,17H
