index	role	name	inchi
1	REACTANT	7-(2,2,2-trifluoro-N-methylacetamido)thieno[2,3-b]pyrazine-6-carboxylate	InChI=1S/C10H6F3N3O3S/c1-16(9(19)10(11,12)13)5-4-7(15-3-2-14-4)20-6(5)8(17)18/h2-3H,1H3,(H,17,18)/p-1
5	REACTANT	citric acid	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)
6	REACTANT	potassium hydroxide	InChI=1S/K.H2O/h;1H2/q+1;/p-1
0	SOLVENT	THF	InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2
3	SOLVENT	ethanol	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3
4	SOLVENT	water	InChI=1S/H2O/h1H2
2	TARGET	7-(methylamino)thieno[2,3-b]pyrazine-6-carboxylic acid	InChI=1S/C8H7N3O2S/c1-9-4-5-7(11-3-2-10-5)14-6(4)8(12)13/h2-3,9H,1H3,(H,12,13)
